INFO      :  __main__ - client - get_connect - 2021-06-02 09:33:10,827 Клиент <socket.socket fd=424, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 52689), raddr=('127.0.0.1', 7777)> запущен
INFO      :  __main__ - client - get_connect - 2021-06-02 09:33:38,544 Клиент <socket.socket fd=356, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 52716), raddr=('127.0.0.1', 7777)> запущен
INFO      :  __main__ - client - get_connect - 2021-06-02 09:34:03,740 Клиент <socket.socket fd=372, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 52736), raddr=('127.0.0.1', 7777)> запущен
INFO      :  __main__ - client - send_request - 2021-06-02 09:34:26,428 Клиент <socket.socket fd=372, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 52736), raddr=('127.0.0.1', 7777)> отправил сообщение ds
INFO      :  __main__ - client - send_request - 2021-06-02 09:34:34,812 Клиент <socket.socket fd=356, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 52716), raddr=('127.0.0.1', 7777)> отправил сообщение @Anna fd
INFO      :  __main__ - client - send_request - 2021-06-02 09:34:53,987 Клиент <socket.socket fd=372, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 52736), raddr=('127.0.0.1', 7777)> отправил сообщение @Fedor fd
INFO      :  __main__ - client - get_connect - 2021-07-12 15:09:08,553 Клиент <socket.socket fd=384, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 63706), raddr=('127.0.0.1', 7777)> запущен
INFO      :  __main__ - client - get_connect - 2021-07-12 15:19:38,827 Клиент <socket.socket fd=364, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 54933), raddr=('127.0.0.1', 7777)> запущен
INFO      :  __main__ - client - get_connect - 2021-07-12 15:20:23,231 Клиент <socket.socket fd=396, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 60441), raddr=('127.0.0.1', 7777)> запущен
INFO      :  __main__ - client - get_connect - 2021-07-12 15:23:30,914 Клиент <socket.socket fd=356, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 64278), raddr=('127.0.0.1', 7777)> запущен
INFO      :  __main__ - client - get_connect - 2021-07-12 15:28:42,957 Клиент <socket.socket fd=400, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 51057), raddr=('127.0.0.1', 7777)> запущен
INFO      :  __main__ - client - send_request - 2021-07-12 15:28:49,547 Клиент <socket.socket fd=400, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 51057), raddr=('127.0.0.1', 7777)> отправил сообщение dsd
INFO      :  __main__ - client - send_request - 2021-07-12 15:28:52,123 Клиент <socket.socket fd=400, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 51057), raddr=('127.0.0.1', 7777)> отправил сообщение ds
INFO      :  __main__ - client - send_request - 2021-07-12 15:28:53,474 Клиент <socket.socket fd=400, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 51057), raddr=('127.0.0.1', 7777)> отправил сообщение fdf
INFO      :  __main__ - client - send_request - 2021-07-12 15:29:17,939 Клиент <socket.socket fd=400, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 51057), raddr=('127.0.0.1', 7777)> отправил сообщение @a sd
INFO      :  __main__ - client - get_connect - 2021-07-12 15:31:25,545 Клиент <socket.socket fd=404, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 63334), raddr=('127.0.0.1', 7777)> запущен
